"key","es","en"
"Trait_Gloomy_Desc","Estos Dobles tienden a estar tristes y pueden compartir pensamientos melancólicos con otros Dobles.","These Doubles tend to be sad and can share melancholy thoughts to other Doubles."
"Trait_Goofball","Bobo","Goofball"
"Trait_Goofball_Desc","Estos Dobles tienden a ser felices.","These Doubles tend to be happy."
"Trait_Good_Desc","Los Dobles buenos hacen todo lo posible para ayudar a amigos y familiares necesitados, odian las peleas y, a menudo, consuelan a quienes los rodean.","Good Doubles go out of their way to help friends and family in need, hate fights, and often comfort those around them."
"Start_Prompt","¡Toca para Empezar!","Touch to Start!"
"Outcome_Food_00","¡A este Doble realmente le encantó la comida!","This Double really loved the food!"
"Outcome_Food_01","Parece que a tu Doble no le gustó para nada la comida...","It seems that your Double did not like the food at all..."
"Outcome_Food_02","Parece que tu Doble está satisfecho con la comida.","It seems that your Double is satisfied with the food."
"Button_Enter","Entrar","Enter"
"treasure_chip","Microchip","Microchip"
"treasure_chip_description","¿El pináculo del logro humano? ¿O simplemente alguna chatarra vieja de los años 70?","The pinnacle of human achievement? Or just some old junk from the 70s?"
"treasure_console","Consola Portátil","Portable Console"
"treasure_console_description","Este está lleno de los mejores recuerdos. ¡Un verdadero clásico de los juegos!","This one is full of the fondest memories. A true gaming classic!"
"treasure_gcoin","Moneda de Oro","Gold Coin"
"treasure_gcoin_description","La única forma de asegurarse de que esto es real es darle un mordisco rápido.","The only way to make sure this is real is to give it a quick nibble."
"treasure_scoin","Moneda de Plata","Silver Coin"
"treasure_scoin_description","Utilizable en máquinas expendedoras y teléfonos públicos en todas partes.","Usable in vending machines and payphones everywhere."
"treasure_pot","Florero de aspecto caro","Expensive-looking vase"
"treasure_pot_description","Es tentador, pero no lo rompas. Piensa en todos los juegos que podrías comprar en su lugar.","It's tempting, but don't break it. Think of all the games you could buy instead."
"treasure_key","Llave","Key"
"treasure_key_description","¿Qué desbloquea esta llave misteriosa? Probablemente nada tan importante.","What does this mysterious key unlock? Probably nothing all that important."
"treasure_TV","Televisión de Tubo de Rayos Catódicos","CRT television"
"treasure_TV_description","Uno de esos televisores grandes y gigantes de antaño. Consigue ayuda para mover esto.","CRT stands for cathode ray tube - the part of old TVs that made them so fat."
"treasure_goldBar","Lingote de Oro","Gold Ingot"
"treasure_goldBar_description","Este lingote de oro es pesado. Realmente pesado. Así es como sabes que vale mucho.","This gold bar is heavy. REALLY heavy. That's how you know it's worth a ton."
"Battle_Attack","Atacar","Attack"
"Battle_Heal","Curar","Heal"
"Battle_Win","Ganaste","You Win!"
"Battle_Lose","Perdiste","You Lose!"
"Instructions_Put","Poner","Put"
"Instructions_Remove","Quitar","Remove"
"Instructions_Enter","Entrar a Edificio","Enter Building"
"Instructions_Move","Mover cámara","Move camera"
"Instructions_Rotate","Rotar cámara","Rotate camera"
"settings_credits","Creditos","Credits"
"text_credits","Creado por: Andrés Reque","Created by: Andrés Reque"
"Problem_Hunger","¡Tengo hambre!","I'm hungry!"
"Problem_Happy","Hola, ¿qué tal estás?","Hey, how are you?"
"Problem_Date","Quisiera llevar a mi pareja a un lugar especial","I want to see my partner"
"Problem_Date_Agree","Me parece bien.","Ok"
"Problem_Date_Disagree","Deberían darse un tiempo a solas.","You are spending too much time together"
"Problem_Date_Yes_Answer","Perfecto, iré a arreglarme.","Alright, thanks!"
"Problem_Date_No_Answer","Oh, ya veo...","..."
"Problem_Furniture","Quisiera algo nuevo para mi apartamento.","I want new furniture!"
"Problem_Sick","He cogido un resfriado.","I'm sick..."
"Problem_Sad","Me han rechazado...","I have been rejected..."
"Problem_Friend","¿Debería hacer un nuevo amigo?","Should I make a new friend?"
"Problem_Friend_Agree","Si","Yes"
"Problem_Friend_Disagree","No","No"
"Problem_Friend_Yes_Answer","En ese caso iré a conocer a alguien nuevo.","In that case I will go to talk to someone."
"Problem_Friend_No_Answer","Bueno...","Alright..."
"Problem_Fight","¡Estoy furioso!","I'm angry!"
"Problem_Breakup","Quiero separarme de mi pareja.","I don't want to be with my partner anymore."
"Problem_Breakup_Agree","Me parece bien.","Ok"
"Problem_Breakup_Disagree","¡No lo hagas!","Don't do it!"
"Problem_Breakup_Yes_Answer","Creo que sería lo mejor...","I think it will be for the best..."
"Problem_Breakup_No_Answer","Voy a intentarlo de nuevo.","I will try again."
"Problem_Confession","Tengo sentimientos por alguien y no sé si debería decirle.","I want to declare to someone."
"Problem_Confession_Agree","Hazlo","Do it."
"Problem_Confession_Disagree","No lo hagas","Don't do it."
"Problem_Confession_Yes_Answer","Está bien. Deséame suerte.","Ok, wish me luck."
"Problem_Confession_No_Answer","Tal vez tienes razón.","Maybe you are right."
"Problem_Thanks","Gracias por ayudarme. Te daré un tesoro en agradecimiento.","Thanks for helping me. I will give you a treasure in return."
